35000
0	4	4	25	800
0	39	15	17	600
0	4	19	18	800
0	4	24	15	600
0	35	3	6	600
0	8	24	4	200
0	11	20	9	200
0	6	11	25	400
0	21	2	9	800
0	2	15	6	800
0	9	22	16	400
1	1	17	4	400
1	6	6	25	600
1	1	22	19	200
1	1	11	25	800
1	29	2	4	800
1	20	17	14	800
1	5	23	24	800
1	1	17	6	600
1	9	15	3	200
1	11	22	18	200
2	8	24	11	600
2	6	17	24	400
2	3	6	20	600
2	21	7	16	800
2	11	20	15	800
2	8	4	2	600
3	15	8	5	800
4	10	7	3	600
4	12	14	11	800
4	4	15	10	600
4	24	11	5	200
4	8	3	14	800
5	8	25	10	600
5	13	19	7	400
5	19	9	1	200
5	2	10	8	800
5	15	1	5	800
5	1	4	3	800
5	11	17	24	400
5	4	12	10	200
5	4	6	19	400
5	15	1	17	600
6	5	9	4	200
6	17	18	17	600
7	18	16	6	800
7	14	12	21	400
7	6	25	24	800
7	1	0	7	200
8	36	10	1	400
8	8	12	16	200
8	4	22	0	800
8	8	14	22	400
8	1	20	11	600
8	11	9	15	600
8	20	5	25	800
9	4	17	4	600
10	21	22	16	600
10	13	17	15	600
10	31	7	5	600
10	29	1	11	400
11	16	5	22	600
11	2	17	3	800
11	4	4	9	800
11	4	21	20	600
11	5	11	9	400
11	5	12	10	600
11	6	16	18	200
11	17	2	12	200
11	18	13	12	600
11	4	20	11	200
11	6	19	4	400
11	7	8	22	200
12	10	9	1	400
12	1	8	7	200
12	4	5	23	400
12	34	21	7	400
12	7	4	5	400
12	7	24	14	800
12	16	20	25	400
12	8	16	22	400
13	1	7	11	600
13	17	23	22	600
13	13	2	17	400
13	18	2	25	400
13	6	21	19	400
13	8	22	25	800
13	39	10	13	600
13	9	18	4	600
14	9	17	3	400
14	31	4	15	600
14	6	17	2	400
14	25	19	4	600
14	12	7	19	800
14	20	12	21	600
14	9	21	5	800
14	16	10	6	800
15	3	0	13	200
15	5	3	14	200
16	8	10	23	200
16	7	9	23	800
16	14	10	14	600
16	26	13	7	600
16	11	25	3	600
16	2	12	20	400
16	2	20	25	800
16	5	6	21	800
16	8	16	0	800
16	1	3	13	400
16	2	10	4	600
16	7	11	9	400
16	10	14	7	800
16	20	21	4	800
17	3	7	21	800
17	8	22	17	600
17	1	25	8	200
17	27	15	3	800
17	4	13	17	200
17	29	7	0	200
17	4	16	20	600
18	7	6	12	400
19	10	19	2	600
19	2	23	17	400
19	14	12	21	800
19	2	22	4	200
19	52	23	0	400
19	2	6	12	600
20	20	24	0	800
20	22	24	15	600
20	1	18	8	800
20	4	25	9	600
21	4	25	14	600
21	14	10	8	600
21	9	6	24	800
21	24	20	11	400
21	8	16	22	400
22	22	2	16	200
22	12	19	3	200
22	5	14	25	200
22	10	17	13	800
22	18	25	19	800
23	2	0	21	800
23	12	13	10	600
23	8	23	0	600
24	8	21	19	800
25	6	2	1	200
25	1	0	13	400
25	3	13	16	800
25	6	12	23	400
25	5	5	23	200
25	6	9	11	800
25	2	14	5	800
25	19	1	23	800
25	14	13	16	800
26	3	18	21	400
26	19	9	13	600
26	6	10	11	400
26	2	4	19	400
26	15	2	3	600
26	18	20	14	600
26	2	12	0	800
26	4	24	12	200
26	19	12	19	200
27	4	20	1	800
27	5	22	10	400
27	4	15	23	600
27	3	9	14	400
27	18	9	13	400
27	1	7	3	400
27	1	9	1	400
28	4	22	4	800
28	5	25	2	400
28	4	25	21	400
29	14	6	24	400
29	1	3	1	400
29	3	24	17	800
30	3	20	12	800
30	1	6	16	200
30	25	18	16	600
30	23	13	19	800
30	1	13	0	200
31	5	22	3	800
31	25	2	15	400
32	14	25	13	400
32	2	17	14	600
32	5	5	25	800
32	5	19	1	200
32	11	24	17	800
32	12	3	5	200
32	60	11	21	800
33	2	10	7	400
33	5	3	12	800
33	4	16	4	400
34	1	4	3	800
34	3	7	9	800
34	4	1	16	800
34	4	24	2	200
34	15	22	16	200
34	4	17	16	600
35	1	6	16	200
35	1	24	6	600
36	4	15	8	200
36	3	12	13	400
36	3	16	23	200
36	7	20	13	400
36	7	10	4	400
36	5	6	24	600
36	4	19	21	200
36	7	15	10	800
36	6	15	16	800
36	20	21	23	200
37	7	17	13	600
37	20	16	19	800
37	17	14	25	600
37	2	21	3	800
37	2	14	11	200
37	7	25	2	200
38	10	3	21	200
39	4	4	2	400
39	28	16	8	600
39	4	6	9	800
39	22	19	25	600
39	1	22	16	200
39	12	8	0	800
39	12	12	3	800
40	6	5	4	400
40	15	22	1	400
40	2	25	14	200
40	2	9	7	400
40	81	7	15	800
40	2	0	23	800
41	14	4	11	800
42	5	20	4	800
42	15	19	17	400
42	2	12	13	200
42	40	6	0	600
42	12	15	9	800
42	31	3	5	600
42	8	3	16	600
43	3	16	24	200
43	1	5	22	200
44	11	22	25	400
44	26	18	5	400
